AU2010,LIBGEO,SNHM12,SNHMC12,SNHMP12,SNHME12,SNHMO12,SNHMF12,SNHMFC12,SNHMFP12,SNHMFE12,SNHMFO12,SNHMH12,SNHMHC12,SNHMHP12,SNHMHE12,SNHMHO12,SNHM1812,SNHM2612,SNHM5012,SNHMF1812,SNHMF2612,SNHMF5012,SNHMH1812,SNHMH2612,SNHMH5012
001,Paris,17.255827628602333,27.911749739896532,15.482764491262936,11.286415982008567,11.754099359311152,15.41024795454687,24.100036875750316,14.643326455432046,11.19792321651599,10.298034106298791,18.613520081027495,30.292782076701407,16.207819588503924,11.435591637747198,12.040610025158928,10.396304463263789,17.23431107333068,20.549151974034007,10.096800358168696,15.746519841472368,17.10689701080381,10.657824917911965,18.30858819801117,23.027472585133115
002,Lyon,14.319117390048845,23.94940666728859,14.434735469616792,10.527651482991295,10.86925580979272,12.617047322717776,20.638145666108016,13.314154150656481,10.285731705836245,9.644725448206712,15.516984094086318,25.537858450965985,15.272596873599534,11.112589986767112,11.126301854511242,9.698316984988004,14.410615040240971,16.899647229006654,9.31534693183784,12.9017648688323,13.812344695198936,9.990170657010642,15.453800870360459,19.095060722610135
003,Marseille - Aix-en-Provence,13.915437120525244,23.756742701370495,14.66623229479175,10.274089101695042,11.076992515450044,12.223499111505875,20.243290172839554,13.254562864989046,10.048234753079676,9.221921935606467,15.105430257538748,25.507734899000873,15.781577881100443,10.722682492742592,11.377462577398344,9.715954717103335,13.821175954509604,16.36719497993911,9.163800689708646,12.346648467151288,13.550637498187912,10.152875481413265,14.842966328434732,18.316583999140256
004,Toulouse,14.655529142598821,23.182109271108292,14.1380985712216,10.282518805739361,11.036987102532471,12.631999616307608,19.921668795117924,13.101828711835607,10.088806418531943,9.831797029392428,16.019090058961908,24.555565442917345,14.878497002113717,10.750619039810815,11.249398402699022,9.771776946330307,14.589413492276451,17.721666369296305,9.191416007228044,12.831815747920409,14.062467309448014,10.207543674560076,15.758270386988448,20.14739775491999
005,Lille (partie française),13.930052114987479,22.843429177922893,14.105371688330317,10.244577157777263,10.481898860705204,12.299835116920443,19.66030662322848,12.796613704710966,10.02988509469133,9.193760521581353,15.08907205619093,24.433557922309735,15.21422182559093,10.652008617419556,10.76472675199863,9.779377518575544,14.014612431785977,16.203509928624705,9.280662720193156,12.565167852484494,13.393101554939248,10.180046272109859,15.038948739408244,18.094102932139954
006,Bordeaux,13.62067747620866,23.00770691908315,14.125745833112557,10.266504552019613,10.800876574867747,12.04008396366527,19.75348221788042,13.026795892899285,10.077183890765408,9.320432324712346,14.795497874045918,24.54392633133299,15.005979236877375,10.729392777648263,11.044331778631882,9.495823953066905,13.54665879986503,16.19006856743301,9.079820243398084,12.1056409771493,13.561363038606304,9.823348483181476,14.612163847038738,18.1141386815748
007,Nice,13.733834786400193,23.892525057399105,14.46884916106493,10.442253578228742,11.067188212894557,12.242747512081612,20.62873462971876,13.645945681275249,10.238756400180453,9.628627148752232,14.908880281422219,25.51362899507095,15.193782278767,10.836237368882335,11.32460631662543,9.621224040548674,13.761182111428393,15.849237199397823,9.219710508358784,12.376443791899352,13.48825951204867,9.951920759877739,14.827744128000589,17.788963903841854
008,Nantes,13.690279405850129,22.44235097370639,13.733331845893776,10.293894622845553,10.811728841250536,11.985467464799628,19.426693316425478,12.865601412575817,10.047622397985082,9.36610841503225,14.877940271616175,23.680404066334827,14.370671344526299,10.941520133214826,11.094969322398347,9.534475873641805,13.721374966162308,16.21690639222383,9.130083873255957,12.181699542496403,13.169580216079517,9.83624435683592,14.781084495111172,18.339279259140266
009,Strasbourg (partie française),13.42842847528476,23.078042150818707,13.995060417454512,10.28609568787283,10.936498464036159,11.94848366309523,19.962599370085147,13.05820372199323,10.07642999984827,9.643683911183837,14.505834908632398,24.570059550695845,14.73919513120072,10.81817342832401,11.226285865888546,9.401034774037635,13.408189395559345,15.74070493999312,9.036429051667646,12.119321513557589,13.131391256112671,9.694917841184246,14.33075559369679,17.63417253757874
010,Grenoble,14.685638890318769,23.927244818397668,14.408234321126345,10.42237912735752,11.170305510602892,12.706930490027531,20.59194896242029,13.318166016785778,10.165112109497265,9.717690409819987,15.928677937627086,25.317798172441254,15.129056240127968,11.028486602079047,11.442447851822187,9.756365403533056,14.669549749124823,17.447718496973938,9.322244876222035,12.92970800820674,13.991697075072071,10.059889780577702,15.737193075660743,19.64926528247363
011,Rennes,13.385425185914006,21.930470941654736,13.959326409995953,10.242857820821149,10.7207911572691,11.826198775654401,19.149672528728928,12.821557247800676,9.982872276535721,9.731477788576194,14.438949462517664,23.077454598686,14.78260112083389,10.92152942654865,10.930562743982101,9.736328986895186,13.432262229935457,15.60793040665239,9.12460817280421,11.99390367680838,13.04084922602561,10.172720672595066,14.39707889752194,17.32741570482711
012,Rouen,13.364687484337704,23.245263075568737,14.36758651588891,10.26918136974664,11.166803704442728,11.908150330205824,19.9012935367314,13.26215392587019,10.041547874793698,9.833330266816938,14.301167245669372,24.808219876104264,15.107530332027157,10.848003991199379,11.403548849208311,9.570263879727221,13.286202129692963,15.569816058594927,9.207357008731163,12.000652370488973,13.145210280632122,9.83302474886945,14.096706736191232,17.12210451240333
